concentration_ppm,mean_CE_pct,std_CE_pct,capacity_retention_pct,n_cycles
0,99.99831714346337,0.0037772445490511443,99.29596059944188,41
10,99.99850344080092,0.003840588180755371,99.29654468253105,41
25,99.99847970792285,0.0040686696143949755,99.29737805536267,41
50,99.99805979083408,0.004210450658079768,99.2988338215494,41
100,99.99745053422998,0.003911075469972294,99.30180907744486,41
200,99.99711675041296,0.003212494930612104,99.30774433110068,41
500,99.99893748545985,0.005113907126166609,99.32472363839547,41
1000,99.99761595573996,0.006224953986308036,99.35136321691897,41
2000,99.99575415393721,0.009241417983276693,99.39368642267824,41
5000,99.99593113719642,0.00450644024476711,99.47049729214909,41
