cycle,discharge_capacity_Ah,charge_capacity_Ah,CE_pct,sei_loss_mol
1,4.99219023052473,4.96215113315111,100.60536441892982,
2,4.960698183651058,4.961334146322218,99.98718161985457,
3,4.959825782231067,4.9603867246753985,99.9886915582299,
4,4.958954033740747,4.959488938424443,99.98921452007782,
5,4.958084651188908,4.958396113819169,99.99371848026838,
6,4.957215013642877,4.957635962670025,99.99150907750553,
7,4.956344969041664,4.956911342511656,99.98857406495988,
8,4.955476044549596,4.95598963354333,99.98963700427744,
9,4.954602618423683,4.954790726702124,99.99620350709411,
10,4.953741937391644,4.953922548710059,99.99635417557221,
11,4.952874233118049,4.953023250023437,99.99699139499523,
12,4.952004743448207,4.952157251935858,99.99692036258358,
13,4.951137844172,4.951291946151277,99.99688764102476,
14,4.950275171319481,4.950411241685896,99.99725133206572,
15,4.94940178123456,4.949549419184797,99.99701714362796,
16,4.948537591604104,4.948688094923386,99.99695872286968,
17,4.947674059988741,4.947827298096215,99.99690292125733,
18,4.946811440061053,4.947120730408507,99.99374807359051,
19,4.945929253602763,4.946259052098327,99.99333236508461,
20,4.945065462806472,4.945397846949464,99.99327892005296,
21,4.944202117028726,4.944540306395213,99.9931603476657,
22,4.943357274817936,4.943678290289829,99.99350654607677,
23,4.942494573660164,4.942816601626473,99.99348492990407,
24,4.9416322208387,4.941955242503381,99.99346368696537,
25,4.940770216947284,4.941094215250729,99.99344278232046,
26,4.939908562660639,4.940233522575101,99.99342217502519,
27,4.939047258714992,4.939373167570138,99.99340181751633,
28,4.938186305931392,4.938513288633423,99.9933789243256,
29,4.937325602306899,4.937654643085694,99.99333609167552,
30,4.936464630247509,4.936645691477635,99.99633230250981,
31,4.93560644155445,4.9358424707782556,99.99521805598125,
32,4.934746554712789,4.934810207852598,99.9987101197994,
33,4.933894738284491,4.934153838233837,99.9947488473639,
34,4.933027594202294,4.933080299889025,99.99893158668566,
35,4.932175298088057,4.932168238177926,100.00014314009154,
36,4.9313026677929885,4.9313268700999675,99.99950921308572,
37,4.930461095633533,4.930502085610435,99.99916864497388,
38,4.929599147657225,4.929570508279332,100.0005809710571,
39,4.928736113117864,4.9287142978146425,100.00044261651017,
40,4.927878926501298,4.927874060922773,100.00009873585374,
41,4.927022257890389,4.927018654172935,100.00007314194865,
42,4.926165611575602,4.926729917790754,99.98854602901785,
43,4.925310242669487,4.9258753704358,99.98852736369042,
44,4.92445434535067,4.924442533113186,100.00023986953659,
45,4.9235984619553665,4.924126743284146,99.98927157328963,
46,4.922743154559632,4.922658628956395,100.0017170722085,
47,4.921880032762783,4.921978371443879,99.99800204971102,
48,4.921033132683281,4.920960144018768,100.00148321998914,
49,4.920180877286717,4.920107002888209,100.00150147950978,
50,4.91932686690634,4.919222559870686,100.0021203967575,
51,4.918475352876299,4.918480005193728,99.9999054114803,
52,4.917618184123502,4.917463018373233,100.00315540248477,
53,4.9167574992443,4.916768899957195,99.99976812591505,
54,4.915908011994017,4.915814165862218,100.00190906589697,
55,4.915062272386098,4.914907094050535,100.00315729946863,
56,4.9142000678272675,4.913963022156272,100.00482392052862,
57,4.913356589807518,4.913114416719764,100.00492911557137,
58,4.912505360547625,4.912266023100115,100.00487224116902,
59,4.911654451053296,4.911489017110794,100.00336830525174,
60,4.910806348147243,4.910640059856223,100.00338628547385,
61,4.909945022829358,4.909795064316164,100.0030542723521,
62,4.90909427632699,4.908947593603262,100.00298806864265,
63,4.908246871311551,4.907980585344219,100.00542557091867,
64,4.907401778006089,4.907672279948479,99.99448818244251,
65,4.90655740723895,4.906824585452347,99.99455496709238,
66,4.905708464346066,4.905313886412726,100.008043887557,
67,4.904857232909368,4.9044668955176025,100.00795881387481,
68,4.904008762038413,4.90418017350159,99.99650478862698,
69,4.90315876048173,4.903300400743752,99.99711132807609,
70,4.902304720876418,4.902096201129083,100.00425368533745,
71,4.90146448154321,4.901111966567031,100.00719255096769,
72,4.900608073807719,4.900436556378538,100.00350004386769,
73,4.899773688805564,4.89959087698033,100.00373116510795,
74,4.898927043350462,4.900782571126255,99.96213813306623,
75,4.898076186305601,4.898299915806959,99.99543250709014,
76,4.897230097906545,4.897145691044658,100.00172359303177,
77,4.8963737179029625,4.896334747546309,100.00079590874935,
78,4.89554030133885,4.895900181830473,99.99264934989979,
79,4.894695754533475,4.895055073059553,99.99265956111391,
80,4.893848489750316,4.894214371990324,99.99252418851732,
81,4.8930072075296875,4.8933711104586655,99.99256334905398,
82,4.89216385586551,4.892528204678078,99.99255295427383,
83,4.891320734697688,4.891211424238031,100.0022348340764,
84,4.890474573908028,4.890368481938242,100.00216940646042,
85,4.889631708288006,4.890119853118956,99.9900177327834,
86,4.888790225267116,4.889277561883228,99.99003254345978,
87,4.887947848694117,4.888435582211428,99.99002270748775,
88,4.887105787417305,4.887593913952822,99.99001294820906,
89,4.886264040924935,4.887014872959685,99.98463618273593,
90,4.885422131766407,4.885581367527055,99.99674069985393,
91,4.8845865002285995,4.884744812006622,99.99675905734863,
92,4.883749025458706,4.883903299033854,99.99684118284696,
93,4.882908225275282,4.883014713210064,99.99781921740899,
94,4.882060249985807,4.882151749195422,99.9981258425728,
95,4.881224601064443,4.881314503082545,99.99815824163665,
96,4.8803825901934434,4.8805566442652815,99.99643372499236,
97,4.879541151834969,4.879829611471775,99.9940887354729,
98,4.87870199316579,4.878991137862068,99.99407367859241,
99,4.877863354277765,4.878383157762116,99.98934475895925,
100,4.877019305482422,4.877315046266717,99.99393640186271,
