concentration_ppm,mean_CE_pct,std_CE_pct,capacity_retention_pct,n_cycles
0,99.99831714346337,0.0037772445490511443,99.29596059944188,41
10,99.99768714039038,0.0037332661910680657,99.29415691853649,41
25,99.99848118299003,0.003129759628716439,99.2917901380676,41
50,99.99822401863292,0.003519491703898529,99.28750591111823,41
100,99.99825451212931,0.004330656340745112,99.27837975689697,41
200,99.99901427241402,0.00511742252377084,99.25982650562332,41
500,99.99919260146794,0.005556655828336947,99.19615231454338,41
1000,100.00027314409311,0.003110722632625407,99.05525875882103,41
2000,99.99278768227686,0.011585187285435694,98.72407432083693,41
5000,99.99491404679192,0.008722258192202988,98.5910563116503,41
