cycle,discharge_capacity_Ah,charge_capacity_Ah,CE_pct,sei_loss_mol
1,4.990541405706695,4.959178754716255,100.63241622336388,
2,4.9580275365633515,4.958221871718463,99.99608054741923,
3,4.957072098508947,4.957268204678722,99.99604406778737,
4,4.956116922896728,4.956315262679794,99.99599824118211,
5,4.955163640481143,4.955589342360384,99.99140966190232,
6,4.954208306113191,4.954386094690087,99.99641149128271,
7,4.953256473999207,4.953405269191186,99.99699610300605,
8,4.9523064768774425,4.952328374860198,99.99955782449996,
9,4.9513460140237235,4.951740631478538,99.99203073254068,
10,4.9503851511138235,4.950810526892613,99.99140795680871,
11,4.949453484217429,4.949578862482638,99.99746689024072,
12,4.948503770354495,4.948542327930058,99.99922082963008,
13,4.9475564497427005,4.947594307639058,99.99923482213772,
14,4.946607674983877,4.946848025713326,99.9951413358931,
15,4.945637551014382,4.945206258264277,100.00872143096933,
16,4.944706898199022,4.944889080526338,99.99631574491663,
17,4.94376202201628,4.943941979198671,99.99636004663589,
18,4.942814755447135,4.9426196029860945,100.0039483609243,
19,4.941869288400691,4.9425573820962745,99.98607818498829,
20,4.940922854827396,4.940380960996751,100.01096866486459,
21,4.93997685120511,4.939360345662939,100.01248148543591,
22,4.939022820123359,4.9389471040687924,100.00153304040256,
23,4.938091753059032,4.9382930152190845,99.99592445892877,
24,4.9371430428561025,4.937042093231055,100.0020447389984,
25,4.936195527062834,4.936062828150025,100.00268835542474,
26,4.935251403381011,4.935001855320007,100.0050566963969,
27,4.934309318112314,4.933907684966769,100.00814026469868,
28,4.933380833926276,4.933578043005484,99.99600271694318,
29,4.9324280462385,4.932207902443877,100.0044633924396,
30,4.931481832577225,4.931394212113221,100.00177678888026,
31,4.930539566806248,4.930405287669443,100.00272349084851,
32,4.929595749360912,4.929506207010383,100.00181645679646,
33,4.928658336644933,4.928518325906623,100.00284082819726,
34,4.92771733115082,4.927677929213688,100.00079960455406,
35,4.926768452332786,4.926734565425716,100.00068781678048,
36,4.925837950588862,4.925755971253416,100.00166429956995,
37,4.9248946359023344,4.924741353276902,100.00311250103175,
38,4.923959315804071,4.923846103718182,100.00229926125846,
39,4.923020703356572,4.923231925591884,99.99570968342535,
40,4.922081728341234,4.9219948051160305,100.00176601619151,
41,4.921159256107259,4.920976519354134,100.00371342461005,
42,4.920214523874043,4.920266985091129,99.99893377295896,
43,4.9192777250408755,4.919585434517719,99.99374521530443,
44,4.918331962100921,4.9181815606955,100.00305806940155,
45,4.917397473081292,4.917699803115254,99.99385220639596,
46,4.9164478008158765,4.916835741134535,99.99210995975699,
47,4.915529154218004,4.915834983219755,99.99377869674643,
48,4.914594287748413,4.9143020471570065,100.0059467364562,
49,4.9136589712663,4.913367516974883,100.0059318642542,
50,4.912724871543064,4.91243336718907,100.00593401135862,
51,4.911791153020345,4.911499596349804,100.00593620471348,
52,4.910857814141895,4.911167951924367,99.99368505036873,
53,4.9099226581982895,4.910376814551844,99.9907510895659,
54,4.90897813782188,4.908713384799426,100.00539353190338,
55,4.908066486209201,4.908608339768431,99.98896115718094,
56,4.907126650635312,4.907586615335919,99.99062747666704,
57,4.906194018997727,4.906109536267212,100.00172199030395,
58,4.905261939940344,4.905895704439806,99.98708157413765,
59,4.9043190318632695,4.904849370197935,99.98918746948911,
60,4.903399556398492,4.903834440159759,99.99113176093985,
61,4.902470972843407,4.902653890141257,99.99626901466127,
62,4.901540015035021,4.901150777837542,100.00794175113401,
63,4.900612388722059,4.900270323173833,100.00698054445299,
64,4.899682743486078,4.899339748756966,100.00700083575953,
65,4.898754467523556,4.89840941980943,100.00704407664927,
66,4.897826576014065,4.897776423256261,100.00102399034728,
67,4.896892329857009,4.8970721315798125,99.99632838320586,
68,4.8959725714189215,4.896430211092806,99.99065360570548,
69,4.895045020272422,4.895474494517682,99.99122711709066,
70,4.894118675908167,4.8945797546794445,99.99057980880103,
71,4.8931917663530236,4.8934686039648545,99.99434271200582,
72,4.892265626097974,4.892005741196533,100.00531244064686,
73,4.891334661222694,4.891868750518105,99.989082100877,
74,4.890415065508164,4.890931501854237,99.98944094093574,
75,4.889489181658186,4.8900075967242405,99.98939848137654,
76,4.888564879710854,4.88831145026277,100.00518439650712,
77,4.8876424047699,4.887360225040977,100.00577366340784,
78,4.886718198435119,4.886424978512493,100.00600070448058,
79,4.885805396661211,4.8862684205167355,99.99052397830664,
80,4.884875214007964,4.885347499201838,99.99033261822315,
81,4.88395279226574,4.883591071694128,100.00740685627241,
82,4.883040709553057,4.882733738671167,100.00628686507025,
83,4.882111484355846,4.881813691838035,100.00610003856372,
84,4.8811902094017166,4.881885298073648,99.98576188030871,
85,4.880268399142773,4.880930568888385,99.98643353482977,
86,4.879348539314055,4.880009991034702,99.98644568921249,
87,4.878428902434098,4.879089821249144,99.98645405517709,
88,4.87750964737667,4.87734318982645,100.00341287343831,
89,4.8765846345221995,4.876421390263782,100.00334762411515,
90,4.875665653842427,4.875500500370559,100.00338741575057,
91,4.874747140004103,4.874580094408263,100.0034268714967,
92,4.873829049361827,4.8743022111300265,99.99029272811359,
93,4.872907482599921,4.8734372880124655,99.98912871180578,
94,4.871995260681999,4.87223752396847,99.9950276790637,
95,4.871078571494985,4.871417917361089,99.99303394059265,
96,4.870161765936872,4.870501727878496,99.99301998108986,
97,4.8692451968554655,4.869474411207546,99.99529283177765,
98,4.8683288903258575,4.868475480203654,99.99698899833443,
99,4.867413472974537,4.867560004471588,99.9969896314187,
100,4.866498034811068,4.866678170713999,99.99629858608661,
