cycle,discharge_capacity_Ah,charge_capacity_Ah,CE_pct,sei_loss_mol
1,4.991288242051166,4.960187930468049,100.62699865446795,
2,4.959183696386866,4.95924216484429,99.99882102031962,
3,4.9582962603394884,4.958335433105897,99.99920996134819,
4,4.9573910198293305,4.957432550626429,99.99916225189806,
5,4.956488395048134,4.956537870828293,99.99900180768414,
6,4.9555638777897455,4.955886022357719,99.99349975833745,
7,4.954665747999944,4.954985281644705,99.99355126954778,
8,4.953763093335035,4.954081352917739,99.99357581032623,
9,4.952844827223645,4.95279610861919,100.00098365859176,
10,4.951955201434319,4.951949196848467,100.00012125701643,
11,4.951051797663007,4.951026802548175,100.0005048470919,
12,4.9501528548610825,4.950327050347941,99.99648113174975,
13,4.94925270227377,4.949332991175292,99.99837778339698,
14,4.948354898291352,4.948294689372043,100.00121676098715,
15,4.947464729488133,4.9478277549531855,99.99266293244163,
16,4.946554602806302,4.947028511490079,99.99042033651764,
17,4.945651703388709,4.945688475684474,99.99925647771902,
18,4.944757143259812,4.945166319690846,99.9917257296402,
19,4.943858793098379,4.944266325350988,99.991757477737,
20,4.942962994473035,4.943174192173025,99.99572748821346,
21,4.942064679255075,4.942207269906883,99.9971148386941,
22,4.941168093824005,4.941003679593902,100.00332754721033,
23,4.9402752140945365,4.940107981019209,100.00338521092999,
24,4.939377560951572,4.939213446372432,100.00332268651519,
25,4.938482094282153,4.9383193198944095,100.0032961495035,
26,4.937588064741794,4.937484123756581,100.00210514064669,
27,4.936691990600432,4.936590231336029,100.00206132694093,
28,4.935796948954077,4.936224989847756,99.99132857812278,
29,4.9348996907374385,4.935331343791795,99.99125381814741,
30,4.934005776142658,4.934159639083423,99.99688167890746,
31,4.93311323060629,4.933275810743412,99.99670441825353,
32,4.932226244605853,4.9325286976486495,99.99386819496983,
33,4.931325154354878,4.931215066813614,100.00223246278601,
34,4.930430774662131,4.930326592902839,100.00211308028646,
35,4.929544033578835,4.929441279641094,100.00208449460925,
36,4.928646613723079,4.928559007577543,100.0017775204761,
37,4.927761228581181,4.927676923482779,100.00171084873686,
38,4.926879763956539,4.927432510161657,99.98878226735773,
39,4.9259917558159945,4.925900823869282,100.00184599629517,
40,4.925090624215267,4.925369800180878,99.99433187807338,
41,4.924194971845807,4.924481367111292,99.9941842552721,
42,4.9233053260799355,4.9235932893681555,99.99415135915386,
43,4.922416033007297,4.9228957724058375,99.99025493488548,
44,4.92152851444492,4.921496259069331,100.00065539774677,
45,4.920644015609408,4.92064202093001,100.00004053697444,
46,4.919754307595293,4.919759505777079,99.99989434073395,
47,4.9188612237908576,4.918933076197784,99.99853926845897,
48,4.9179828683426114,4.917903818212748,100.00160739479229,
49,4.917089955307811,4.917127708409525,99.99923221230051,
50,4.916204039210748,4.9163217935233785,99.99760482902511,
51,4.915314875768106,4.915232201739988,100.00168199638848,
52,4.914431427564301,4.914347464530666,100.0017085286346,
53,4.9135463569765205,4.913509559993983,100.00074889408657,
54,4.912653514716092,4.912630080271151,100.00047702441582,
55,4.91177535437657,4.91164750608423,100.00260296147437,
56,4.9108907995023605,4.9107474366972,100.00291936832444,
57,4.909991956550625,4.910071729250606,99.99837532516061,
58,4.909112815055171,4.9091533394491425,99.99917451358372,
59,4.908231919425775,4.908230721104412,100.00002441452797,
60,4.907355669786355,4.907211211576004,100.00294379443073,
61,4.906473136668743,4.906698837580465,99.99540014744754,
62,4.905586946510287,4.905477346913642,100.00223422898311,
63,4.904707322021083,4.90463576730501,100.00145892008028,
64,4.90382216223071,4.903942447971596,99.99754716246852,
65,4.902939032492497,4.902877020284693,100.00126481263037,
66,4.90205153337261,4.9019872265422375,100.0013118522632,
67,4.901176996923216,4.9011355814984,100.00084501691757,
68,4.900300167410347,4.900520469222504,99.99550452215146,
69,4.899417674080744,4.898937444728977,100.00980272471705,
70,4.898535025614951,4.898898518306672,99.99258011386921,
71,4.897655659749822,4.897997225920147,99.99302641151945,
72,4.896781658774853,4.897122579162713,99.99303835298487,
73,4.895901996454874,4.895701481662113,100.00409573160276,
74,4.895022968512705,4.89490678619825,100.00237353476847,
75,4.894144361352098,4.894427210390204,99.994220998169,
76,4.893266125606816,4.893545386037521,99.99429329026964,
77,4.892389059207522,4.89254951799507,99.99672034412819,
78,4.891504844062971,4.8916683532492,99.99665739427898,
79,4.890628114804713,4.890718116438783,99.99815974603469,
80,4.889761390995004,4.889841632966258,99.99835900674753,
81,4.8888853479261645,4.888965482148603,99.99836091658388,
82,4.888009641608207,4.888089662539096,99.99836294060842,
83,4.88713427094796,4.8872141760851004,99.99836501666877,
84,4.886259236771973,4.886718597422457,99.99059981373335,
85,4.885380736670616,4.885002797453938,100.0077367246724,
86,4.884509499355287,4.885053509277106,99.9888637878626,
87,4.883632370661669,4.884110995508209,99.9902003691771,
88,4.882759100421148,4.88323731731984,99.99020696993374,
89,4.881885881476289,4.882336833352253,99.99076360580278,
90,4.881010398938169,4.881405418230083,99.99190767293291,
91,4.880143621112883,4.880534622701012,99.99198855005946,
92,4.879271396361502,4.879748284171407,99.99022720472178,
93,4.87839612963362,4.878455182158792,99.99878952408156,
94,4.8775291882900795,4.877916982116016,99.99205001177023,
95,4.876658953315847,4.877223569271335,99.98842341452121,
96,4.875782265137241,4.875761952395607,100.00041660650854,
97,4.8749136791336545,4.874808742819498,100.00215262422985,
98,4.874046320310218,4.874021159688304,100.00051621897177,
99,4.873176101634454,4.873668654195722,99.98989359769371,
100,4.872302373099471,4.872677935374021,99.99229248722095,
